"CUSTOMER_ID","LAST","FIRST","STATE","REGION","SEX","PROFESSION","BUY_INSURANCE","AGE","HAS_CHILDREN","SALARY","N_OF_DEPENDENTS","CAR_OWNERSHIP","HOUSE_OWNERSHIP","TIME_AS_CUSTOMER","MARITAL_STATUS","LTV","LTV_BIN"
"CU7854","BRENTON","ROJAS","LA","South","M","Childcare Worker","No",33,1,69838,1,1,1,1,"MARRIED",24259.5,"HIGH"
"CU12993","GABRIELE","ATKINSON","NY","NorthEast","F","First-line Manager","No",23,0,75409,5,1,1,5,"SINGLE",23652.25,"HIGH"
"CU608","ALEJANDRO","PAULSON","CA","West","M","Secretary","No",27,1,72953,1,1,2,1,"DIVORCED",34438.25,"VERY HIGH"
"CU10025","DIRK","DYE","CA","West","M","DBA","No",36,0,72196,3,1,1,3,"DIVORCED",27149,"HIGH"
"CU11680","JUAN","ROARK","NY","NorthEast","M","PROF-5","No",20,0,54836,0,0,0,2,"SINGLE",16709,"MEDIUM"
"CU10706","RANDY","BARRON","NY","NorthEast","M","PROF-20","No",26,0,68436,3,1,1,3,"MARRIED",25209,"HIGH"
"CU6752","ELEONOR","COLLIER","MI","Midwest","F","Author","No",68,1,62499,1,1,1,1,"WIDOWED",25924.75,"HIGH"
"CU6932","TYRELL","LOONEY","CA","West","M","PROF-30","No",48,1,65042,6,1,1,4,"SINGLE",16060.5,"MEDIUM"
"CU9555","ZACK","DANIEL","TX","Southwest","M","Not specified","No",33,0,69052,1,1,1,1,"DIVORCED",29063,"HIGH"
"CU475","SIERRA","VANCE","IL","Midwest","F","PROF-58","No",54,0,68490,5,1,1,5,"DIVORCED",25022.5,"HIGH"
"CU4188","TERRANCE","WORKMAN","MI","Midwest","M","PROF-25","No",32,0,60341,1,1,0,4,"SINGLE",18285.25,"MEDIUM"
"CU12337","IAN","BELL","MS","South","M","PROF-3","No",20,0,76895,3,0,0,3,"SINGLE",16723.75,"MEDIUM"
"CU4603","FERNANDO","GUY","CA","West","M","Nurse","No",48,1,60045,3,1,1,3,"MARRIED",20311.25,"MEDIUM"
"CU7694","FRANSISCA","HIGH","NY","NorthEast","F","Sales Representative","No",23,0,58592,1,1,1,1,"SINGLE",25448,"HIGH"
"CU6846","EDISON","CONTRERAS","CA","West","M","Nurse","No",67,1,61085,0,1,0,2,"SINGLE",17971.25,"MEDIUM"
